keyword,volume,cpc,cpc_dollars,sd,pd,competition,intent,updated_at,source_seed,source,page,previous_key,next_key,has_metrics
カードローン,60500,4584.16630815,28.37,53,79,0.79,3,1780985785,カードローン,searched_keywords,1,0,998,True
セブン銀行 カードローン,33100,187.43859419999998,1.16,20,45,0.45,1,1769231403,カードローン,match_keywords,1,0,998,True
カードローン オススメ,27100,2410.8481254,14.92,45,61,0.61,,1766156834,カードローン,match_keywords,1,0,998,True
みずほ 銀行 カードローン,22200,1237.7410617,7.66,18,57,0.58,1,1762731756,カードローン,match_keywords,1,0,998,True
カードローンおすすめ,22200,2588.5916199,16.02,32,73,0.73,,1770370512,カードローン,match_keywords,1,0,998,True
カードローンみずほ,22200,479.90743515,2.97,18,47,0.47,1|3,1765479870,カードローン,match_keywords,1,0,998,True
auじぶん銀行カードローン,18100,967.086195075,5.985,45,27,0.27,,1766156834,カードローン,match_keywords,1,0,998,True
カードローン おすすめ,18100,4639.10520645,28.71,41,66,0.66,3|1,1774842768,カードローン,match_keywords,1,0,998,True
とはカードローン,14800,922.65032145,5.71,59,79,0.79,,1766156834,カードローン,match_keywords,1,0,998,True
三井住友銀行 カードローン,14800,426.5843868,2.64,19,34,0.34,3|1,1781053200,カードローン,match_keywords,1,0,998,True
即日 カードローン,14800,4537.3066596,28.08,40,89,0.89,2,1769839397,カードローン,match_keywords,1,0,998,True
銀行 カードローン みずほ,14800,769.1445762,4.76,18,49,0.49,1,1773765648,カードローン,match_keywords,1,0,998,True
みずほ銀行カードローン,12100,572.0108822999999,3.54,18,46,0.46,3|1,1776876988,カードローン,match_keywords,1,0,998,True
カードローン 銀行,12100,4052.5516745999994,25.08,53,75,0.75,3,1778210910,カードローン,match_keywords,1,0,998,True
三井住友カードローン,12100,408.81003734999996,2.53,24,40,0.4,1,1776871534,カードローン,match_keywords,1,0,998,True
審査の甘いカードローン,12100,1804.90439415,11.17,18,70,0.7,3,1762623265,カードローン,match_keywords,1,0,998,True
カードローン 即日,9900,4752.21470295,29.41,34,73,0.73,2,1773817582,カードローン,match_keywords,1,0,998,True
カードローンの金利,9900,484.754985,3.0,58,81,0.81,,1766156834,カードローン,match_keywords,1,0,998,True
カードローン千葉銀行,9900,447.59043614999996,2.77,16,50,0.5,1,1769472167,カードローン,match_keywords,1,0,998,True
カードローン審査が甘い,9900,1397.71020675,8.65,17,64,0.64,1,1769243447,カードローン,bulk_metric_enrichment,,,,True
楽天 カードローン,9900,751.37022675,4.65,20,43,0.43,3,1779444801,カードローン,match_keywords,1,0,998,True
カードローン 審査甘い,8100,1678.86809805,10.39,13,61,0.61,1,1773653652,カードローン,bulk_metric_enrichment,,,,True
カードローン 楽天銀行,8100,811.1566748999999,5.02,25,41,0.41,1,1773653672,カードローン,bulk_metric_enrichment,,,,True
比較 カードローン,8100,1434.8747556,8.88,28,24,0.24,,1766156944,カードローン,bulk_metric_enrichment,,,,True
無利息 カードローン,8100,1932.5565402,11.96,36,28,0.29,1,1761427174,カードローン,bulk_metric_enrichment,,,,True
カードローン イオン銀行,6600,647.95582995,4.01,37,40,0.4,1,1769359869,カードローン,bulk_metric_enrichment,,,,True
カードローン 即日 融資,6600,2254.11068025,13.95,28,46,0.46,,1766156944,カードローン,bulk_metric_enrichment,,,,True
カードローンとは みずほ,6600,903.26012205,5.59,21,42,0.42,1,1779459610,カードローン,bulk_metric_enrichment,,,,True
カードローン無利息,6600,2069.90378595,12.81,33,47,0.47,1,1769360141,カードローン,bulk_metric_enrichment,,,,True
審査 カードローン,6600,2685.5426169,16.62,28,79,0.79,2|1,1769359360,カードローン,bulk_metric_enrichment,,,,True
審査なし カードローン,6600,1426.79550585,8.83,42,75,0.75,,1766156944,カードローン,bulk_metric_enrichment,,,,True
消費者金融カードローン,6600,2378.5311264,14.72,40,76,0.76,2,1764121994,カードローン,bulk_metric_enrichment,,,,True
auカードローン,5400,772.3762761,4.78,34,60,0.6,2,1771715537,カードローン,bulk_metric_enrichment,,,,True
pay pay 銀行カードローン,5400,840.241974,5.2,36,48,0.48,2|1,1773700948,カードローン,bulk_metric_enrichment,,,,True
イオン銀行のカードローン,5400,649.5716798999999,4.02,49,54,0.54,,1766156944,カードローン,bulk_metric_enrichment,,,,True
カードローン審査なし,5400,2019.8124375,12.5,15,75,0.75,3,1779458755,カードローン,bulk_metric_enrichment,,,,True
カードローン審査ゆるい,5400,1867.9225422,11.56,23,91,0.91,1,1762737338,カードローン,bulk_metric_enrichment,,,,True
