category,provider_name,brand_or_product,kw_mention_count,example_keyword,priority,source_basis,notes
スマホローン・周辺,auフィナンシャルサービス,au PAY スマートローン,3,au スマートローン カードローン 違い,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,LINE Credit,LINEポケットマネー,1,lineポケットマネーはカードローン,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,NTTドコモ,dスマホローン,1,dスマホローンとカードローンの違いは何ですか,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,メルペイ,メルペイスマートマネー,1,メルペイスマートマネーはカードローン,medium,ubersuggest_keyword_export,カードローン周辺
スマホローン・周辺,ファミマデジタルワン,ファミペイローン,0,,research,manual_provider_candidate,カードローン周辺
信販・カード,JCB,JCB CARD LOAN FAITH,32,jcbカードローン,high,ubersuggest_keyword_export,信販/カードローン
信販・カード,クレディセゾン,MONEY CARD,2,セゾンのカードローン money card gold,high,ubersuggest_keyword_export,信販/カードローン
信販・カード,オリックス・クレジット,ORIX MONEY / VIPローンカード,0,,high,manual_provider_candidate,信販/カードローン
協同組織・その他,ろうきん,労働金庫カードローン,45,ろうきん カードローン,high,ubersuggest_keyword_export,地域別展開候補
協同組織・その他,信用金庫,信用金庫カードローン,10,信用金庫 カードローン,high,ubersuggest_keyword_export,個別信金展開候補
協同組織・その他,JAバンク,JAバンクカードローン,1,カードローン jaバンク,medium,ubersuggest_keyword_export,地域別展開候補
協同組織・その他,信用組合,信用組合カードローン,1,ハナ信用組合 カードローン,medium,ubersuggest_keyword_export,個別信組展開候補
消費者金融・貸金業,アコム,アコム,78,アコムのカードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,いつも,いつも,21,いつも カードローン,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,SMBCコンシューマーファイナンス,プロミス,13,プロミス カードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,アイフル,アイフル,3,アイフル カードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,ダイレクトワン,ダイレクトワン,3,ダイレクトワン カードローン,high,ubersuggest_keyword_export,中堅消費者金融
消費者金融・貸金業,新生フィナンシャル,レイク,3,レイク カードローン,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,セントラル,セントラル,2,セントラル カードローン,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,フタバ,フタバ,2,カードローン フタバ,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,ベルーナノーティス,ベルーナノーティス,2,ベルーナノーティス カードローン,high,ubersuggest_keyword_export,中堅消費者金融
消費者金融・貸金業,AZ,AZ,1,カードローン az,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,SMBCモビット,SMBCモビット,1,カードローン モビット,high,ubersuggest_keyword_export,大手消費者金融
消費者金融・貸金業,アロー,アロー,1,カードローン アロー,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,キャネット,キャネット,1,カードローン キャネット,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,ニチデン,ニチデン,1,ニチデン カードローン,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,フクホー,フクホー,1,カードローン 在籍確認なし フクホー,high,ubersuggest_keyword_export,中小消費者金融
消費者金融・貸金業,新生フィナンシャル,ノーローン,1,ノーローン カードローン,high,ubersuggest_keyword_export,旧ブランド/要確認
消費者金融・貸金業,エイワ,エイワ,0,,high,manual_provider_candidate,中小消費者金融
銀行-その他,東京スター銀行,スターカードローン,9,東京スター銀行カードローン,medium,ubersuggest_keyword_export,銀行カードローン
銀行-ネット,セブン銀行,セブン銀行カードローン,203,セブン銀行 カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,イオン銀行,イオン銀行カードローン,159,カードローン イオン銀行,high,ubersuggest_keyword_export,ネット/流通系銀行カードローン
銀行-ネット,PayPay銀行,PayPay銀行カードローン,95,pay pay 銀行カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,オリックス銀行,オリックス銀行カードローン,50,オリックス 銀行カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,楽天銀行,楽天銀行スーパーローン,42,カードローン 楽天銀行,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,auじぶん銀行,じぶんローン,39,auじぶん銀行カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,ソニー銀行,ソニー銀行カードローン,37,ソニー銀行 カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,住信SBIネット銀行,住信SBIネット銀行カードローン,32,住信sbiネット銀行 カードローン,high,ubersuggest_keyword_export,ネット銀行カードローン
銀行-ネット,SBI新生銀行,SBI新生銀行カードローン,10,sbi新生銀行カードローン,high,ubersuggest_keyword_export,ネット/銀行カードローン
銀行-ネット,GMOあおぞらネット銀行,GMOあおぞらネット銀行カードローン候補,1,gmoあおぞらネット銀行カードローン,high,ubersuggest_keyword_export,要確認/検索候補
銀行-メガ/都市,三井住友銀行,三井住友銀行カードローン,197,三井住友銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,みずほ銀行,みずほ銀行カードローン,191,みずほ 銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,りそな銀行,りそな銀行カードローン,58,埼玉りそな銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,三菱UFJ銀行,バンクイック,15,三菱ufj銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
銀行-メガ/都市,埼玉りそな銀行,埼玉りそな銀行カードローン,2,埼玉りそな銀行 カードローン,high,ubersuggest_keyword_export,銀行カードローン
